Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Annotation Count Gene Protein-coding
GCA_000006745.1	ASM674v1	Vibrio cholerae O1 biovar El Tor str. N16961		N16961					Annotation submitted by TIGR	4033464	Complete Genome	2001-01-09		3828
GCA_000009745.1	ASM974v1	Vibrio vulnificus YJ016		YJ016					Annotation submitted by NHRI, Taiwan	5260086	Complete Genome	2003-10-03		5028
GCA_000016245.1	ASM1624v1	Vibrio cholerae O395		O395					Annotation submitted by TIGR	4132319	Complete Genome	2007-05-08		3875
GCA_000017705.1	ASM1770v1	Vibrio campbellii ATCC BAA-1116		ATCC BAA-1116; BB120					Annotation submitted by The Vibrio harveyi Genome Sequencing Project	6058377	Complete Genome	2007-08-28		6064
GCA_000021605.1	ASM2160v1	Vibrio cholerae M66-2		M66-2					Annotation submitted by TEDA School of Biological Sciences and Biotechnology	3938905	Complete Genome	2009-04-20		3693
GCA_000021625.1	ASM2162v1	Vibrio cholerae O395		O395					Annotation submitted by TEDA School of Biological Sciences and Biotechnology	4135300	Complete Genome	2009-04-20		3934
GCA_000022585.1	ASM2258v1	Vibrio cholerae MJ-1236		MJ-1236					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4236368	Complete Genome	2009-05-04		3774
GCA_000024825.1	ASM2482v1	Vibrio antiquarius		EX25					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	5089025	Complete Genome	2009-11-03		4518
GCA_000039765.1	ASM3976v1	Vibrio vulnificus CMCP6		CMCP6					Annotation submitted by Chonnam Univ.	5126696	Complete Genome	2011-01-25		4433
GCA_000091465.1	ASM9146v1	Vibrio atlanticus		LGP32					Annotation submitted by Institut Pasteur	4974818	Complete Genome	2009-02-13		4431
GCA_000152425.1	ASM15242v1	Vibrio cholerae MO10		MO10					Annotation submitted by TIGR	4079638	Scaffold	2008-08-28	AAKF03	3870
GCA_000152445.1	ASM15244v1	Vibrio cholerae RC385		RC385					Annotation submitted by TIGR	4194697	Scaffold	2010-06-04	AAKH03	3737
GCA_000152465.2	ASM15246v2	Vibrio cholerae V51		V51					Annotation submitted by Broad Institute	4208620	Scaffold	2015-07-23	AAKI03	3648
GCA_000152485.1	ASM15248v1	Vibrio antiquarius		EX25					Annotation submitted by TIGR	4855962	Scaffold	2007-07-13	AAKK02	3266
GCA_000152765.1	ASM15276v1	Vibrio splendidus 12B01		12B01					Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative	5702234	Scaffold	2006-05-04	AAMR01	5231
GCA_000153005.1	ASM15300v1	Vibrio sp. MED222		MED222					Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative	4984034	Scaffold	2006-06-29	AAND01	4590
GCA_000153505.1	ASM15350v1	Vibrio alginolyticus 12G01		12G01					Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative	5257379	Scaffold	2006-06-29	AAPS01	4732
GCA_000153785.3	ASM15378v3	Vibrio cholerae AM-19226		AM-19226					Annotation submitted by Broad Institute	4053126	Scaffold	2015-07-23	AATY02	3574
GCA_000153865.1	ASM15386v1	Vibrio cholerae MAK 757		MAK 757					Annotation submitted by TIGR	3936003	Scaffold	2010-06-04	AAUS02	3502
GCA_000153945.1	ASM15394v1	Vibrio cholerae NCTC 8457		NCTC 8457					Annotation submitted by TIGR	4082088	Scaffold	2007-01-22	AAWD01	3975
GCA_000153965.1	ASM15396v1	Vibrio cholerae B33		B33					Annotation submitted by TIGR	4043735	Scaffold	2007-01-22	AAWE01	3677
GCA_000153985.3	ASM15398v3	Vibrio cholerae MZO-2		MZO-2					Annotation submitted by Broad Institute	3977246	Scaffold	2015-07-23	AAWF02	3482
GCA_000154005.2	Vibrio_cholerae_623-39_V1	Vibrio cholerae 623-39		623-39					Annotation submitted by Broad Institute	4164181	Scaffold	2015-08-05	AAWG02	3557
GCA_000154025.1	ASM15402v1	Vibrio campbellii HY01		HY01					Annotation submitted by TIGR	5415385	Scaffold	2007-02-01	AAWP01	4327
GCA_000154045.1	ASM15404v1	Vibrio parahaemolyticus AQ3810		AQ3810					Annotation submitted by TIGR	5781428	Scaffold	2007-02-01	AAWQ01	5509
GCA_000158115.1	ASM15811v1	Vibrio sp. 16		16					Annotation submitted by Gordon and Betty Moore Foundation Microbial Genome Sequencing Project	4535833	Scaffold	2009-01-05	ACCV01	4035
GCA_000165125.2	Vcar_1.0	Vibrio caribbeanicus ATCC BAA-2122		ATCC BAA-2122					Annotation submitted by FDA	4410536	Contig	2010-10-20	AEIU01	4023
GCA_000166455.2	ASM16645v2	Vibrio cholerae O1 str. 2010EL-1786		2010EL-1786					Annotation submitted by Centers for Disease Control and Prevention	4077740	Complete Genome	2011-11-10		3845
GCA_000166475.2	ASM16647v2	Vibrio cholerae O1 str. 2010EL-1798		2010EL-1798						4016678	Contig	2010-11-12	AELI01	
GCA_000166495.2	ASM16649v2	Vibrio cholerae O1 str. 2010EL-1792		2010EL-1792						4014995	Contig	2010-11-12	AELJ01	
GCA_000167935.2	Vibrio_cholerae_V52_V1	Vibrio cholerae V52		V52					Annotation submitted by Broad Institute	4045303	Scaffold	2015-08-05	AAKJ03	3560
GCA_000168895.2	Vibrio_cholerae_1587	Vibrio cholerae 1587		1587					Annotation submitted by Broad Institute	4216194	Scaffold	2015-08-05	AAUR02	3763
GCA_000168915.3	ASM16891v3	Vibrio cholerae 2740-80		2740-80					Annotation submitted by Broad Institute	4068340	Scaffold	2015-07-23	AAUT02	3580
GCA_000168935.3	ASM16893v3	Vibrio cholerae MZO-3		MZO-3					Annotation submitted by Broad Institute	4137330	Scaffold	2015-07-23	AAUU02	3567
GCA_000171815.1	ASM17181v1	Vibrio sp. AND4		AND4					Annotation submitted by The Gordon and Betty Moore Foundation Marine Microbiology Initiative	4255798	Contig	2007-11-07	ABGR01	3935
GCA_000174115.1	ASM17411v1	Vibrio cholerae 12129(1)		12129(1)					Annotation submitted by Los Alamos National Laboratory, National Microbial Pathogen Data Resource (NMPDR)	3969506	Contig	2009-05-01	ACFQ01	3574
GCA_000174235.1	ASM17423v1	Vibrio cholerae VL426		VL426					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	3987383	Contig	2009-05-01	ACHV01	3461
GCA_000174255.1	ASM17425v1	Vibrio cholerae TM 11079-80		TM 11079-80					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4055140	Contig	2009-05-01	ACHW01	3621
GCA_000174275.1	ASM17427v1	Vibrio cholerae RC9		RC9					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4211011	Contig	2009-05-01	ACHX01	3811
GCA_000174295.1	ASM17429v1	Vibrio cholerae TMA 21		TMA 21					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4023772	Contig	2009-05-01	ACHY01	3600
GCA_000174315.1	ASM17431v1	Vibrio cholerae B33		B33					Annotation submitted by Los Alamos National Laboratory, National Microbial Pathogen Data Resource (NMPDR)	4154698	Scaffold	2009-05-01	ACHZ01	3748
GCA_000174335.1	ASM17433v1	Vibrio cholerae BX 330286		BX 330286					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4000672	Contig	2009-05-01	ACIA01	3632
GCA_000175695.1	ASM17569v1	Vibrio cholerae CIRS101		CIRS 101					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4059686	Contig	2009-08-11	ACVW01	3462
GCA_000175975.1	ASM17597v1	Vibrio mimicus VM603		VM603					Annotation submitted by LNCC / UFRJ	4350709	Contig	2009-09-15	ACYU01	3763
GCA_000175995.1	ASM17599v1	Vibrio mimicus VM573		VM573					Annotation submitted by LNCC / UFRJ	4366551	Contig	2009-09-15	ACYV01	3745
GCA_000176055.1	ASM17605v1	Vibrio alginolyticus 40B		40B					Annotation submitted by LNCC/UFRJ/CBS	5144683	Contig	2009-11-23	ACZB01	4337
GCA_000176135.1	ASM17613v1	Vibrio coralliilyticus ATCC BAA-450		ATCC BAA-450					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	5680628	Contig	2009-10-06	ACZN01	5022
GCA_000176155.1	ASM17615v1	Vibrio metschnikovii CIP 69.14		CIP 69.14					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	3815101	Contig	2009-10-06	ACZO01	3057
GCA_000176175.1	ASM17617v1	Vibrio furnissii CIP 102972		CIP 102972					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4958664	Contig	2009-10-06	ACZP01	4416
